jbd2:jbd2_start_commit,block:block_rq_issue,mmc:mmc_request_start,Time
0,0,0,532
0,0,0,315
0,0,0,286
0,0,0,261
0,0,0,341
0,0,0,299
0,0,0,263
0,0,0,291
0,0,0,278
1,2,3,1981
0,0,0,291
0,0,0,288
0,0,0,283
0,0,0,320
1,1,1,391
0,0,0,340
0,0,0,291
0,0,0,266
0,0,0,311
1,2,3,2698
0,0,0,345
0,0,0,292
0,0,0,278
0,0,0,296
1,2,3,4230
0,0,0,345
0,0,0,287
0,0,0,255
0,0,0,277
1,1,1,360
0,0,0,332
0,0,0,345
0,0,0,303
0,0,0,285
1,1,1,353
0,0,0,323
0,0,0,350
0,0,0,293
0,0,0,259
1,1,1,337
0,0,0,360
0,0,0,274
0,0,0,292
0,0,0,282
1,1,1,381
0,0,0,298
0,0,0,293
0,0,0,285
0,0,0,301
1,2,3,1945
0,0,0,307
0,0,0,268
0,0,0,332
0,0,0,309
1,2,3,3191
0,0,0,283
0,0,0,303
0,0,0,282
0,0,0,281
1,2,3,1950
0,0,0,321
0,0,0,293
0,0,0,262
0,0,0,360
1,2,3,3226
0,0,0,289
0,0,0,286
0,0,0,293
0,0,0,278
1,1,1,352
0,0,0,317
0,0,0,361
0,0,0,269
0,0,0,333
1,2,3,1991
0,0,0,317
0,0,0,265
0,0,0,284
0,0,0,316
1,1,1,404
0,0,0,321
0,0,0,301
0,0,0,283
0,0,0,263
1,1,1,368
0,0,0,334
0,0,0,289
0,0,0,287
0,0,0,277
1,2,3,1988
0,0,0,342
0,0,0,296
0,0,0,281
0,0,0,261
1,2,3,2732
0,0,0,303
0,0,0,290
0,0,0,272
0,0,0,282
1,2,3,1947
0,0,0,280
0,0,0,326
0,0,0,299
0,0,0,257
1,2,3,1989
0,0,0,372
0,0,0,312
0,0,0,262
0,0,0,310
1,2,3,2051
0,0,0,290
0,0,0,287
0,0,0,283
0,0,0,319
1,2,3,2702
0,0,0,309
0,0,0,294
0,0,0,263
0,0,0,281
1,2,3,1942
0,0,0,328
0,0,0,323
0,0,0,384
0,0,0,312
1,2,3,3457
0,0,0,317
0,0,0,321
0,0,0,291
0,0,0,260
1,2,3,2679
0,0,0,322
0,0,0,314
0,0,0,289
0,0,0,336
1,2,3,3502
0,0,0,291
0,0,0,286
0,0,0,291
0,0,0,315
1,1,1,407
0,0,0,339
0,0,0,288
0,0,0,269
0,0,0,284
1,2,3,2707
0,0,0,288
0,0,0,299
0,0,0,316
0,0,0,280
1,2,3,1942
0,0,0,328
0,0,0,290
0,0,0,320
0,0,0,291
1,2,3,3442
0,0,0,286
0,0,0,286
0,0,0,287
0,0,0,301
1,2,3,2692
0,0,0,306
0,0,0,293
0,0,0,290
0,0,0,340
1,2,3,3515
0,0,0,310
0,0,0,261
0,0,0,282
0,0,0,312
1,2,3,2017
0,0,0,312
0,0,0,303
0,0,0,279
0,0,0,285
1,2,3,2908
0,0,0,314
0,0,0,277
0,0,0,289
0,0,0,308
1,1,1,414
0,0,0,350
0,0,0,296
0,0,0,287
0,0,0,261
1,2,3,2749
0,0,0,319
0,0,0,344
0,0,0,279
0,0,0,288
1,2,3,3470
0,0,0,289
0,0,0,283
0,0,0,331
0,0,0,325
1,2,3,2762
0,0,0,328
0,0,0,285
0,0,0,260
0,0,0,345
1,2,3,3434
0,0,0,287
0,0,0,285
0,0,0,286
0,0,0,297
1,2,3,2785
0,0,0,316
0,0,0,288
0,0,0,259
0,0,0,310
1,2,3,1942
0,0,0,386
0,0,0,271
0,0,0,306
0,0,0,285
1,2,3,3471
0,0,0,315
0,0,0,333
0,0,0,291
0,0,0,262
1,2,3,2849
0,0,0,328
0,0,0,269
0,0,0,331
0,0,0,317
1,2,3,3520
0,0,0,285
0,0,0,288
0,0,0,312
0,0,0,330
1,2,3,2869
0,0,0,324
0,0,0,289
0,0,0,262
0,0,0,305
1,2,3,3543
0,0,0,290
0,0,0,300
0,0,0,279
0,0,0,277
1,2,3,2671
0,0,0,355
0,0,0,300
0,0,0,262
0,0,0,345
1,2,3,5217
0,0,0,342
0,0,0,360
0,0,0,304
0,0,0,283
1,1,0,308
0,0,0,317
0,0,0,302
0,0,0,312
0,0,0,366
1,2,3,3468
0,0,0,313
0,0,0,263
0,0,0,308
0,0,0,299
1,1,1,357
0,0,0,333
0,0,0,291
0,0,0,278
0,0,0,315
1,2,3,3462
0,0,0,325
0,0,0,261
0,0,0,281
0,0,0,356
1,2,3,2039
0,0,0,307
0,0,0,292
0,0,0,284
0,0,0,256
1,2,3,2876
0,0,0,314
0,0,0,306
0,0,0,260
0,0,0,282
1,2,3,1961
0,0,0,284
0,0,0,294
0,0,0,281
0,0,0,290
1,1,1,406
0,0,0,332
0,0,0,292
0,0,0,287
0,0,0,294
1,2,3,2699
0,0,0,346
0,0,0,264
0,0,0,288
0,0,0,305
1,2,3,3452
0,0,0,345
0,0,0,359
0,0,0,295
0,0,0,261
1,2,3,2036
0,0,0,348
0,0,0,321
0,0,0,303
0,0,0,285
1,2,3,2910
0,0,0,311
0,0,0,283
0,0,0,276
0,0,0,262
1,1,1,337
0,0,0,320
0,0,0,264
0,0,0,285
0,0,0,359
1,1,1,413
0,0,0,295
0,0,0,284
0,0,0,366
0,0,0,265
1,1,1,368
0,0,0,330
0,0,0,287
0,0,0,263
0,0,0,293
1,2,3,1981
0,0,0,304
0,0,0,286
0,0,0,286
0,0,0,339
1,1,1,378
0,0,0,369
0,0,0,298
0,0,0,267
0,0,0,298
1,2,3,1976
0,0,0,311
0,0,0,264
0,0,0,284
0,0,0,293
1,1,1,345
0,0,0,310
0,0,0,307
0,0,0,283
0,0,0,260
1,1,1,450
0,0,0,317
0,0,0,262
0,0,0,303
0,0,0,287
1,1,1,348
0,0,0,333
0,0,0,285
0,0,0,281
0,0,0,283
1,1,1,375
0,0,0,346
0,0,0,280
0,0,0,303
0,0,0,301
1,1,1,368
0,0,0,315
0,0,0,300
0,0,0,285
0,0,0,259
1,1,1,374
0,0,0,316
0,0,0,303
0,0,0,259
0,0,0,278
1,1,1,396
0,0,0,303
0,0,0,292
0,0,0,285
0,0,0,340
1,1,1,391
0,0,0,345
0,0,0,298
0,0,0,289
0,0,0,294
1,2,3,2682
0,0,0,340
0,0,0,271
0,0,0,302
0,0,0,278
1,2,3,2969
0,0,0,313
0,0,0,332
0,0,0,288
0,0,0,258
1,1,1,362
0,0,0,374
0,0,0,338
0,0,0,298
0,0,0,283
1,1,1,377
0,0,0,295
0,0,0,289
0,0,0,294
0,0,0,261
1,2,3,2295
0,0,0,366
0,0,0,276
0,0,0,337
0,0,0,290
1,2,3,2877
0,0,0,287
0,0,0,288
0,0,0,355
0,0,0,286
1,1,1,370
0,0,0,348
0,0,0,296
0,0,0,263
0,0,0,357
1,1,1,358
0,0,0,309
0,0,0,284
0,0,0,283
0,0,0,284
1,1,1,391
0,0,0,341
0,0,0,313
0,0,0,262
0,0,0,342
1,2,3,2690
0,0,0,348
0,0,0,263
0,0,0,284
0,0,0,291
1,2,3,3490
0,0,0,308
0,0,0,345
0,0,0,284
0,0,0,262
1,2,3,2890
0,0,0,321
0,0,0,292
0,0,0,350
0,0,0,295
1,1,1,375
0,0,0,292
0,0,0,287
0,0,0,285
0,0,0,317
1,1,1,382
0,0,0,318
0,0,0,296
0,0,0,262
0,0,0,300
1,1,1,426
0,0,0,311
0,0,0,290
0,0,0,289
0,0,0,260
1,1,1,344
0,0,0,345
0,0,0,300
0,0,0,265
0,0,0,281
1,2,3,2919
0,0,0,291
0,0,0,334
0,0,0,286
0,0,0,284
1,2,3,3494
0,0,0,324
0,0,0,284
0,0,0,337
0,0,0,295
1,2,3,2913
0,0,0,311
0,0,0,265
0,0,0,375
0,0,0,354
1,1,1,363
0,0,0,324
0,0,0,287
0,0,0,276
0,0,0,260
1,1,1,360
0,0,0,348
0,0,0,269
0,0,0,283
0,0,0,366
1,1,1,430
0,0,0,296
0,0,0,290
0,0,0,284
0,0,0,261
1,1,1,337
0,0,0,347
0,0,0,287
0,0,0,263
0,0,0,342
1,2,3,2927
0,0,0,286
0,0,0,337
0,0,0,350
0,0,0,289
1,1,1,354
0,0,0,366
0,0,0,303
0,0,0,319
0,0,0,285
1,2,3,8421
0,0,0,298
0,0,0,290
0,0,0,288
0,0,0,339
1,1,1,350
0,0,0,340
0,0,0,295
0,0,0,262
0,0,0,298
1,1,1,425
0,0,0,319
0,0,0,265
0,0,0,360
0,0,0,289
1,1,1,349
0,0,0,340
0,0,0,313
0,0,0,291
0,0,0,263
1,1,1,376
0,0,0,319
0,0,0,320
0,0,0,314
0,0,0,289
1,1,1,384
0,0,0,290
0,0,2,325
0,0,0,323
0,0,0,269
1,1,1,344
0,0,0,317
0,0,0,292
0,0,0,325
0,0,0,308
1,1,1,356
0,0,0,309
0,0,0,294
0,0,0,298
0,0,0,339
1,1,1,361
0,0,0,319
0,0,0,304
0,0,0,264
0,0,0,362
1,1,1,419
0,0,0,296
0,0,0,294
0,0,0,290
0,0,0,283
1,1,1,370
0,0,0,353
0,0,0,284
0,0,0,292
0,0,0,323
1,2,3,2867
0,0,0,314
0,0,0,321
0,0,0,302
0,0,0,289
1,1,1,356
0,0,0,316
0,0,0,290
0,0,0,344
0,0,0,267
1,1,1,367
0,0,0,346
0,0,0,267
0,0,0,278
0,0,0,372
1,1,1,383
0,0,0,289
0,0,0,284
0,0,0,282
0,0,0,255
1,1,1,430
0,0,0,316
0,0,0,301
0,0,0,255
0,0,0,281
1,2,3,1964
0,0,0,321
0,0,0,291
0,0,0,331
0,0,0,289
1,1,1,351
0,0,0,332
0,0,0,317
0,0,0,296
0,0,0,336
1,2,3,3476
0,0,0,330
0,0,0,323
0,0,0,292
0,0,0,285
1,1,1,353
0,0,0,339
0,0,0,297
0,0,0,321
0,0,0,305
1,1,1,381
0,0,0,319
0,0,0,263
0,0,0,281
0,0,0,334
1,1,1,365
0,0,0,331
0,0,0,296
0,0,0,288
0,0,0,320
1,2,3,3525
0,0,0,315
0,0,0,263
0,0,0,313
0,0,0,291
1,1,1,399
0,0,0,333
0,0,0,294
0,0,0,285
0,0,0,339
1,1,1,379
0,0,0,319
0,0,0,344
0,0,0,288
0,0,0,307
1,2,3,3486
0,0,0,307
0,0,0,294
0,0,0,334
0,0,0,287
1,2,3,2875
0,0,0,315
0,0,0,308
0,0,0,262
0,0,0,334
1,2,3,3438
0,0,0,308
0,0,0,274
0,0,0,293
0,0,0,290
1,1,1,412
0,0,0,321
0,0,0,299
0,0,0,311
0,0,0,268
1,1,1,362
0,0,0,318
0,0,0,273
0,0,0,323
0,0,0,288
1,1,1,356
0,0,0,320
0,0,0,288
0,0,0,284
0,0,0,261
1,2,3,2746
0,0,0,349
0,0,0,294
0,0,0,362
0,0,0,291
1,1,1,404
0,0,0,313
0,0,0,296
0,0,0,288
0,0,0,256
1,1,1,340
0,0,0,323
0,0,0,290
0,0,0,265
0,0,0,328
1,2,3,2050
0,0,0,325
0,0,0,295
0,0,0,321
0,0,0,289
1,1,1,374
0,0,0,348
0,0,0,354
0,0,0,278
0,0,0,282
1,2,3,3915
0,0,0,321
0,0,0,262
0,0,0,285
0,0,0,281
1,1,1,349
0,0,0,338
0,0,0,294
0,0,0,348
0,0,0,278
1,1,1,376
0,0,0,343
0,0,0,338
0,0,0,296
0,0,0,332
1,2,3,2851
0,0,0,325
0,0,0,379
0,0,0,302
0,0,0,262
1,2,3,4512
0,0,0,312
0,0,0,270
0,0,0,313
0,0,0,288
1,1,1,394
0,0,0,364
0,0,0,328
0,0,0,319
0,0,0,285
1,1,1,379
0,0,0,317
0,0,0,287
0,0,0,267
0,0,0,305
1,2,3,1965
0,0,0,307
0,0,0,302
0,0,0,282
0,0,0,284
1,2,3,2021
0,0,0,307
0,0,0,309
0,0,0,262
0,0,0,281
1,2,3,2660
0,0,0,306
0,0,0,274
0,0,0,286
0,0,0,349
1,1,1,382
0,0,0,321
0,0,0,306
0,0,0,319
0,0,0,266
1,2,3,1981
0,0,0,310
0,0,0,317
0,0,0,305
0,0,0,286
1,1,1,384
0,0,0,294
0,0,0,338
0,0,0,308
0,0,0,264
1,2,3,3440
0,0,0,339
0,0,0,273
0,0,0,284
0,0,0,280
1,2,3,2305
0,0,0,287
0,0,0,316
0,0,0,288
0,0,0,260
1,1,1,339
0,0,0,313
0,0,0,298
0,0,0,331
0,0,0,291
1,2,3,3769
0,0,0,287
0,0,0,288
0,0,0,326
0,0,0,296
1,1,1,348
0,0,0,318
0,0,0,314
0,0,0,289
0,0,0,370
1,2,3,1978
0,0,0,321
0,0,0,286
0,0,0,299
0,0,0,290
1,1,1,348
0,0,0,343
0,0,0,298
0,0,0,284
0,0,0,342
1,1,1,389
0,0,0,324
0,0,0,263
0,0,0,284
0,0,0,354
1,1,1,370
0,0,0,291
0,0,0,317
0,0,0,280
0,0,0,258
1,1,1,349
0,0,0,320
0,0,0,288
0,0,0,288
0,0,0,286
1,1,1,361
0,0,0,296
0,0,0,289
0,0,0,283
0,0,0,261
1,2,3,2888
0,0,0,310
0,0,0,289
0,0,0,258
0,0,0,298
1,1,1,346
0,0,0,346
0,0,0,303
0,0,0,284
0,0,0,287
1,1,1,372
0,0,0,350
0,0,0,305
0,0,0,320
0,0,0,284
1,2,3,2870
0,0,0,305
0,0,0,323
0,0,0,287
0,0,0,284
1,1,1,379
0,0,0,314
0,0,0,286
0,0,0,371
0,0,0,274
1,1,1,369
0,0,0,322
0,0,0,263
0,0,0,320
0,0,0,311
1,1,1,384
0,0,0,297
0,0,0,285
0,0,0,287
0,0,0,341
1,1,1,379
0,0,0,346
0,0,0,300
0,0,0,264
0,0,0,340
1,2,3,2872
0,0,0,301
0,0,0,290
0,0,0,282
0,0,0,299
1,1,1,355
0,0,0,320
0,0,0,302
0,0,0,260
0,0,0,344
1,1,1,398
0,0,0,340
0,0,0,295
0,0,0,330
0,0,0,292
1,1,1,353
0,0,0,349
0,0,0,295
0,0,0,264
0,0,0,298
1,2,3,3460
0,0,0,322
0,0,0,266
0,0,0,285
0,0,0,283
1,2,3,2661
0,0,0,314
0,0,0,358
0,0,0,355
0,0,0,275
1,1,1,376
0,0,0,321
0,0,0,268
0,0,0,289
0,0,0,316
1,1,1,375
0,0,0,294
0,0,0,325
0,0,0,337
0,0,0,266
1,1,1,373
0,0,0,325
0,0,0,294
0,0,0,292
0,0,0,298
1,2,3,1989
0,0,0,288
0,0,0,290
0,0,0,311
0,0,0,344
1,1,1,363
0,0,0,341
0,0,0,292
0,0,0,261
0,0,0,293
1,2,3,1963
0,0,0,305
0,0,0,292
0,0,0,285
0,0,0,356
1,1,1,377
0,0,0,319
0,0,0,308
0,0,0,259
0,0,0,282
1,1,1,409
0,0,0,323
0,0,0,277
0,0,0,285
0,0,0,291
1,1,1,370
0,0,0,318
0,0,0,288
0,0,0,325
0,0,0,265
1,1,1,368
0,0,0,342
0,0,0,271
0,0,0,298
0,0,0,282
1,1,1,392
0,0,0,296
0,0,0,351
0,0,0,294
0,0,0,262
1,2,3,3461
0,0,0,344
0,0,0,293
0,0,0,326
0,0,0,291
1,1,0,344
0,0,0,299
0,0,0,303
0,0,0,361
0,0,0,357
1,1,1,382
0,0,0,321
0,0,0,308
0,0,0,262
0,0,0,283
1,1,1,428
0,0,0,319
0,0,0,269
0,0,0,325
0,0,0,287
1,1,1,347
0,0,0,339
0,0,0,293
0,0,0,283
0,0,0,289
1,1,1,399
0,0,0,341
0,0,0,274
0,0,0,286
0,0,0,281
1,1,1,348
0,0,0,340
0,0,0,337
0,0,0,290
0,0,0,314
1,1,1,384
0,0,0,316
0,0,0,266
0,0,0,327
0,0,0,285
1,1,1,371
0,0,0,291
0,0,0,368
0,0,0,302
0,0,0,341
1,1,1,384
0,0,0,315
0,0,0,290
0,0,0,293
0,0,0,290
1,1,1,433
0,0,0,294
0,0,0,291
0,0,0,283
0,0,0,286
1,1,1,355
0,0,0,325
0,0,0,289
0,0,0,260
0,0,0,297
1,2,3,1964
0,0,0,372
0,0,0,272
0,0,0,286
0,0,0,284
1,1,1,354
0,0,0,322
0,0,0,349
0,0,0,284
0,0,0,260
1,1,1,375
